SIC_2DIGIT_CODE,SIC_2DIGIT_NAME,SIC_SECTION,SIC_SECTION_NAME
01,"01 : Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING"
02,02 : Forestry and logging,A,"AGRICULTURE, FORESTRY AND FISHING"
03,03 : Fishing and aquaculture,A,"AGRICULTURE, FORESTRY AND FISHING"
05,05 : Mining of coal and lignite,B,MINING AND QUARRYING
06,06 : Extraction of crude petroleum and natural gas,B,MINING AND QUARRYING
08,08 : Other mining and quarrying,B,MINING AND QUARRYING
09,09 : Mining support service activities,B,MINING AND QUARRYING
10,10 : Manufacture of food products,C,MANUFACTURING
11,11 : Manufacture of beverages,C,MANUFACTURING
12,12 : Manufacture of tobacco products,C,MANUFACTURING
13,13 : Manufacture of textiles,C,MANUFACTURING
14,14 : Manufacture of wearing apparel,C,MANUFACTURING
15,15 : Manufacture of leather and related products,C,MANUFACTURING
16,"16 : Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials",C,MANUFACTURING
17,17 : Manufacture of paper and paper products,C,MANUFACTURING
18,18 : Printing and reproduction of recorded media,C,MANUFACTURING
19,19 : Manufacture of coke and refined petroleum products,C,MANUFACTURING
20,20 : Manufacture of chemicals and chemical products,C,MANUFACTURING
21,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING
22,22 : Manufacture of rubber and plastic products,C,MANUFACTURING
23,23 : Manufacture of other non-metallic mineral products,C,MANUFACTURING
24,24 : Manufacture of basic metals,C,MANUFACTURING
25,"25 : Manufacture of fabricated metal products, except machinery and equipment",C,MANUFACTURING
26,"26 : Manufacture of computer, electronic and optical products",C,MANUFACTURING
27,27 : Manufacture of electrical equipment,C,MANUFACTURING
28,28 : Manufacture of machinery and equipment n.e.c.,C,MANUFACTURING
29,"29 : Manufacture of motor vehicles, trailers and semi-trailers",C,MANUFACTURING
30,30 : Manufacture of other transport equipment,C,MANUFACTURING
31,31 : Manufacture of furniture,C,MANUFACTURING
32,32 : Other manufacturing,C,MANUFACTURING
33,33 : Repair and installation of machinery and equipment,C,MANUFACTURING
35,"35 : Electricity, gas, steam and air conditioning supply",D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
36,"36 : Water collection, treatment and supply",E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
37,37 : Sewerage,E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
