DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_EASTAT_20,C2021_EASTAT_20_NAME,C2021_EASTAT_20_CODE,C2021_EASTAT_20_TYPE,C2021_EASTAT_20_TYPECODE,C2021_EASTAT_20_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,0,Total: All usual residents aged 16 years and over,0,Economic activity status,1000000,0,20100,Value,74685,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d0d20100,0,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,0,Total: All usual residents aged 16 years and over,0,Economic activity status,1000000,0,20301,Percent,100,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d0d20301,1,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1001,Economically active (excluding full-time students),1001,Economic activity status,1000000,1,20100,Value,39487,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1a2a3a4a5a6a7d20100,2,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1001,Economically active (excluding full-time students),1001,Economic activity status,1000000,1,20301,Percent,52.9,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1a2a3a4a5a6a7d20301,3,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1002,Economically active (excluding full-time students):In employment,1002,Economic activity status,1000000,2,20100,Value,36846,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1a2a3a4a5a6d20100,4,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1002,Economically active (excluding full-time students):In employment,1002,Economic activity status,1000000,2,20301,Percent,49.3,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1a2a3a4a5a6d20301,5,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1003,Economically active (excluding full-time students):In employment:Employee,1003,Economic activity status,1000000,3,20100,Value,32298,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1a2d20100,6,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1003,Economically active (excluding full-time students):In employment:Employee,1003,Economic activity status,1000000,3,20301,Percent,43.2,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1a2d20301,7,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1,Economically active (excluding full-time students): In employment: Employee: Part-time,_1,Economic activity status,1000000,4,20100,Value,9575,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1d20100,8,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1,Economically active (excluding full-time students): In employment: Employee: Part-time,_1,Economic activity status,1000000,4,20301,Percent,12.8,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d1d20301,9,10850
