Region_name,year,gvaperhead_pounds_cp,gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.x,perhourworked_pounds_cp,perfilledjob_pounds_cp,UK_gvaperhead_pounds_cp,UK_gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.y,UK_perhourworked_pounds_cp,UK_perfilledjob_pounds_cp
Bedfordshire and Hertfordshire,1998,14618.448615946056,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
Bedfordshire and Hertfordshire,1999,15325.910052879979,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
Bedfordshire and Hertfordshire,2000,16110.245767381379,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
Bedfordshire and Hertfordshire,2001,16865.280434241686,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
Bedfordshire and Hertfordshire,2002,17514.07031684269,NA,NA,NA,35292.67631023952,16085.79314272791,NA,NA,NA,32821.521292139805
Bedfordshire and Hertfordshire,2003,18532.536750177824,NA,NA,NA,36805.46018167906,16975.748910963528,NA,NA,NA,34503.31916247595
Bedfordshire and Hertfordshire,2004,19199.707151313167,NA,NA,23.74807547593453,37479.65415981454,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
Bedfordshire and Hertfordshire,2005,20459.611765943755,NA,NA,24.67636437186478,40204.889260744545,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
Bedfordshire and Hertfordshire,2006,20857.072955438012,NA,NA,25.687310052525568,41742.6042836106,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
Bedfordshire and Hertfordshire,2007,21667.791406983975,NA,NA,26.67981815438828,42876.696024756005,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
Bedfordshire and Hertfordshire,2008,22583.813931792203,NA,NA,27.25369700201722,44234.08158080583,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
Bedfordshire and Hertfordshire,2009,21476.15021344167,NA,NA,27.402056663997946,43099.05486914436,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
Bedfordshire and Hertfordshire,2010,21068.406770930753,NA,NA,27.4620734699403,43269.052419957996,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
Bedfordshire and Hertfordshire,2011,20745.571689209064,NA,NA,26.575714326644412,42724.43250869985,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
Bedfordshire and Hertfordshire,2012,20849.30264266817,32888.6894075404,42542.963307013466,26.947128548167797,43197.85319474051,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
Bedfordshire and Hertfordshire,2013,22120.28519401798,35125.75811630396,44576.11771363894,27.729153987658922,44872.8831422754,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
Bedfordshire and Hertfordshire,2014,23324.937139410817,37207.53382261915,46613.49285476903,28.587911815568617,45788.51837503972,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
