ITL level,ITL code,Region name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UKX,UK less Extra-Regio,"907,931,111","927,870,601","933,957,804","942,790,207","938,434,253","920,281,841","916,228,621","928,360,499","946,790,904","963,728,895","990,512,607","997,197,982","1,021,052,944","1,030,145,261","1,039,012,522","1,052,865,891","932,509,227","1,007,114,225"
Other,TLB,England,"766,810,642","782,316,624","786,114,370","794,276,519","791,339,599","777,851,772","777,117,286","787,757,410","806,321,390","820,026,497","843,740,200","851,409,364","872,797,470","879,597,053","888,424,132","901,976,608","797,681,128","862,363,076"
ITL1,TLC,North East,"33,393,360","33,662,188","34,540,997","34,368,749","34,325,424","33,875,221","33,353,677","32,803,684","32,835,798","33,330,885","33,819,335","34,010,130","33,711,232","34,128,111","34,690,566","34,325,576","30,483,094","34,012,393"
ITL2,TLC1,Tees Valley and Durham,"14,123,430","13,728,209","14,163,143","14,149,959","13,988,621","13,939,123","13,873,649","13,493,727","13,563,903","13,983,322","14,081,642","14,071,471","13,814,501","14,039,107","14,198,499","14,393,950","12,960,956","14,687,250"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"3,568,813","3,550,103","3,582,219","3,474,623","3,663,788","3,519,415","3,502,071","3,536,112","3,275,159","3,463,320","3,529,985","3,622,612","3,615,354","3,777,497","3,681,752","3,694,316","3,169,563","3,595,546"
ITL3,TLC12,South Teesside,"3,374,606","3,278,378","3,340,376","3,388,258","3,212,632","3,235,677","3,133,462","3,103,922","3,289,336","3,286,501","3,149,392","3,134,160","3,121,025","3,082,432","3,208,565","3,299,670","2,828,098","3,383,954"
ITL3,TLC13,Darlington,"1,560,999","1,534,542","1,635,507","1,690,371","1,725,354","1,594,304","1,778,094","1,586,576","1,694,575","1,573,028","1,699,532","1,643,210","1,555,023","1,512,005","1,552,957","1,493,382","1,679,983","1,665,051"
ITL3,TLC14,Durham CC,"5,619,012","5,365,186","5,605,041","5,596,707","5,386,848","5,589,727","5,460,023","5,267,117","5,304,834","5,660,473","5,702,733","5,671,488","5,523,099","5,667,173","5,755,225","5,906,583","5,283,312","6,042,699"
ITL2,TLC2,"Northumberland, and Tyne and Wear","19,269,930","19,933,979","20,377,853","20,218,790","20,336,804","19,936,098","19,480,028","19,309,957","19,271,895","19,347,563","19,737,694","19,938,659","19,896,731","20,089,004","20,492,067","19,931,626","17,522,138","19,325,143"
ITL3,TLC21,Northumberland,"3,702,467","3,563,968","3,660,636","3,727,030","3,870,326","3,916,775","3,831,446","3,568,096","3,385,242","3,558,321","3,467,010","3,470,312","3,581,560","3,524,797","3,551,471","3,704,997","3,205,918","3,422,420"
ITL3,TLC22,Tyneside,"12,012,222","12,551,420","12,749,645","12,537,125","12,492,086","12,230,619","12,151,751","12,089,445","12,148,835","12,070,764","12,593,790","12,703,801","12,517,678","12,801,092","13,161,362","12,613,087","10,871,335","12,130,062"
ITL3,TLC23,Sunderland,"3,555,241","3,818,591","3,967,572","3,954,636","3,974,391","3,788,704","3,496,831","3,652,416","3,737,818","3,718,478","3,676,894","3,764,546","3,797,493","3,763,115","3,779,234","3,613,542","3,444,886","3,772,661"
ITL1,TLD,North West,"98,317,439","99,172,684","99,445,491","100,007,320","99,265,706","97,886,219","98,644,379","97,841,600","99,484,087","100,760,350","105,373,070","105,255,134","106,571,317","107,860,206","109,863,688","113,915,633","99,196,326","107,341,949"
ITL2,TLD1,Cumbria,"7,241,080","6,697,941","6,965,835","7,749,474","7,609,874","7,468,795","7,999,693","7,172,151","7,539,483","7,533,688","7,921,836","7,812,611","7,664,227","7,764,441","7,720,437","7,918,058","7,130,371","7,509,741"
ITL3,TLD11,West Cumbria,"2,878,840","2,781,971","2,904,158","3,033,377","3,067,043","3,158,158","3,374,271","3,169,320","3,140,651","3,075,903","3,200,792","3,346,646","3,211,649","3,230,370","3,276,016","3,378,144","2,850,236","2,846,837"
ITL3,TLD12,East Cumbria,"4,362,240","3,915,971","4,061,677","4,716,097","4,542,832","4,310,637","4,625,421","4,002,831","4,398,832","4,457,785","4,721,044","4,465,965","4,452,579","4,534,070","4,444,420","4,539,913","4,280,135","4,662,904"
ITL2,TLD3,Greater Manchester,"38,268,291","39,096,619","38,898,929","38,549,915","38,258,019","37,881,381","37,930,328","37,676,390","38,343,048","39,208,920","40,728,065","40,328,672","41,789,007","42,830,341","44,246,126","45,409,111","39,445,549","44,556,412"
ITL3,TLD33,Manchester,"10,359,770","10,198,505","10,554,177","10,455,939","10,544,024","9,849,503","10,481,599","10,262,445","10,504,699","11,207,011","11,590,753","11,552,350","12,751,373","13,122,440","13,236,748","14,062,203","12,558,312","13,622,218"
ITL3,TLD34,Greater Manchester South West,"7,915,843","7,900,227","7,783,953","7,599,676","7,640,294","7,933,717","7,854,532","7,861,250","7,975,523","8,288,180","8,477,205","8,532,341","8,576,659","8,772,756","9,176,215","9,118,726","8,206,775","9,613,194"
ITL3,TLD35,Greater Manchester South East,"6,531,040","6,651,193","6,342,131","6,551,508","6,338,534","6,481,849","6,079,992","6,323,341","6,216,049","6,085,007","6,325,896","6,217,264","6,163,494","6,112,499","6,561,422","6,888,403","5,877,583","6,730,121"
ITL3,TLD36,Greater Manchester North West,"6,498,978","7,220,795","7,088,400","6,809,688","6,717,473","6,531,460","6,659,639","6,492,522","6,566,259","6,556,104","7,066,397","6,854,344","6,978,552","7,308,952","7,461,679","7,687,735","6,295,820","7,297,806"
ITL3,TLD37,Greater Manchester North East,"6,962,660","7,125,899","7,130,268","7,133,104","7,017,694","7,084,852","6,854,566","6,736,833","7,080,518","7,072,618","7,267,814","7,172,373","7,318,928","7,513,694","7,810,061","7,652,044","6,507,059","7,293,074"
ITL2,TLD4,Lancashire,"20,079,510","20,432,787","20,116,391","20,622,275","20,058,192","19,912,996","19,864,619","20,363,092","20,042,743","20,297,071","21,474,261","20,963,152","20,656,757","20,204,548","21,148,460","21,516,261","18,862,990","19,704,797"
ITL3,TLD41,Blackburn with Darwen,"2,082,309","1,994,513","1,921,822","2,194,288","2,078,814","1,897,289","1,943,205","1,935,060","2,061,196","2,091,766","2,272,346","2,154,857","2,200,358","2,107,022","2,261,571","2,176,913","2,037,736","2,310,643"
ITL3,TLD42,Blackpool,"1,834,712","1,836,502","1,940,803","1,946,439","1,806,227","1,934,269","1,689,368","1,748,252","1,833,750","1,700,522","1,961,555","1,851,137","1,766,049","1,901,701","1,929,054","1,990,899","1,795,668","1,820,387"
ITL3,TLD44,Lancaster and Wyre,"2,621,396","2,847,030","2,939,378","2,679,424","3,019,522","3,007,592","2,785,842","3,063,318","2,764,983","2,916,027","3,081,995","2,937,918","2,683,391","3,028,894","2,825,976","2,813,530","2,235,845","2,598,334"
ITL3,TLD45,Mid Lancashire,"6,663,724","6,899,588","6,693,093","7,066,014","6,763,093","6,620,852","6,863,197","6,933,186","6,698,674","6,891,426","7,257,334","6,982,522","6,869,947","6,517,819","6,888,431","7,126,533","6,248,140","6,425,503"
ITL3,TLD46,East Lancashire,"4,105,939","3,996,012","3,795,946","3,852,685","3,848,732","3,634,605","3,686,371","3,853,587","3,735,823","3,785,718","3,838,192","4,088,234","4,064,845","3,852,920","4,150,292","4,269,180","3,764,609","3,740,113"
ITL3,TLD47,Chorley and West Lancashire,"2,771,429","2,859,142","2,825,348","2,883,426","2,541,804","2,818,389","2,896,635","2,829,688","2,948,318","2,911,613","3,062,839","2,948,485","3,072,166","2,796,193","3,093,136","3,139,207","2,780,993","2,809,819"
ITL2,TLD6,Cheshire,"13,964,801","13,829,129","14,147,826","14,197,633","14,057,419","14,068,981","14,334,652","14,134,715","14,521,246","15,059,558","15,503,472","16,514,620","16,574,576","16,515,185","16,606,714","17,323,171","15,238,226","15,580,502"
ITL3,TLD61,Warrington,"3,524,112","3,834,486","3,832,681","3,691,626","3,708,876","3,596,675","3,751,350","3,891,443","3,794,811","4,189,554","4,129,119","4,273,012","4,680,378","4,398,886","4,362,185","4,618,278","4,285,949","4,516,255"
ITL3,TLD62,Cheshire East,"5,420,878","5,284,816","5,409,702","5,536,487","5,531,276","5,588,520","5,679,343","5,523,921","5,772,683","6,012,802","6,094,668","6,492,667","6,576,065","6,574,009","6,575,022","6,817,478","5,988,673","6,005,712"
ITL3,TLD63,Cheshire West and Chester,"5,019,811","4,709,828","4,905,443","4,969,520","4,817,267","4,883,787","4,903,959","4,719,351","4,953,753","4,857,201","5,279,686","5,748,941","5,318,133","5,542,290","5,669,508","5,887,415","4,963,604","5,058,535"
ITL2,TLD7,Merseyside,"18,763,757","19,116,208","19,316,510","18,888,022","19,282,202","18,554,066","18,515,087","18,495,252","19,037,567","18,661,114","19,745,435","19,636,078","19,886,750","20,545,691","20,141,951","21,749,033","18,519,190","19,990,496"
ITL3,TLD71,East Merseyside,"5,505,489","5,245,163","5,710,893","5,678,881","5,540,007","5,418,939","5,472,740","5,578,443","6,029,228","5,525,500","5,996,948","5,895,072","6,321,324","6,202,779","6,132,935","6,657,145","5,762,201","6,150,168"
ITL3,TLD72,Liverpool,"6,957,722","7,384,919","7,510,905","7,285,023","7,637,957","7,442,273","7,203,316","7,140,143","7,188,340","7,297,532","7,650,013","7,773,081","7,734,642","8,082,102","8,138,286","8,865,747","7,394,497","8,111,790"
