ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UK,United Kingdom,"1,517,715","1,563,460","1,627,447","1,662,558","1,691,998","1,744,840","1,785,756","1,833,406","1,873,015","1,921,029","1,918,064","1,831,550","1,876,058","1,896,087","1,923,551","1,958,557","2,021,225","2,069,595","2,114,406","2,166,073","2,203,005","2,238,348","1,991,439","2,141,293"
Other,TLB,England,"1,233,905","1,281,142","1,339,090","1,364,362","1,386,989","1,431,493","1,465,656","1,509,350","1,548,333","1,595,171","1,590,878","1,508,067","1,571,664","1,611,643","1,644,005","1,678,845","1,736,925","1,774,435","1,816,522","1,861,696","1,892,729","1,922,734","1,701,531","1,852,300"
ITL1,TLC,North East,"44,531","45,650","46,886","48,805","50,776","52,595","55,271","55,906","57,341","57,328","56,441","53,964","55,761","57,083","58,290","58,066","59,333","61,327","61,324","62,497","63,434","64,765","56,152","61,424"
ITL2,TLC1,Tees Valley and Durham,"18,899","19,864","20,445","20,847","21,483","22,493","23,420","23,479","24,103","24,260","23,946","23,242","23,796","23,926","24,466","24,387","24,905","25,894","25,629","25,625","26,286","26,714","23,626","25,906"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"5,748","6,076","6,130","6,190","6,308","6,583","6,808","6,699","6,923","7,012","6,744","6,539","6,695","6,863","6,923","6,975","7,054","7,459","7,565","7,381","7,356","7,510","6,823","7,384"
ITL3,TLC12,South Teesside,"4,667","4,837","4,929","4,855","4,920","5,137","5,258","5,296","5,405","5,334","5,269","5,141","5,197","5,236","5,368","5,235","5,360","5,551","5,538","5,448","5,666","5,639","4,743","5,325"
ITL3,TLC13,Darlington,979,"1,043","1,202","1,333","1,455","1,600","1,751","1,755","1,836","1,817","1,915","1,839","1,949","2,064","2,108","2,139","2,505","2,776","2,700","2,742","2,864","2,858","2,430","2,641"
ITL3,TLC14,Durham CC,"8,549","8,966","9,112","9,261","9,472","9,809","10,242","10,249","10,513","10,714","10,576","10,112","10,320","10,183","10,243","10,136","10,031","10,082","9,919","10,064","10,472","10,708","9,682","10,627"
ITL2,TLC2,"Northumberland, and Tyne and Wear","25,635","25,785","26,439","27,959","29,297","30,105","31,856","32,432","33,242","33,070","32,494","30,714","31,961","33,157","33,827","33,681","34,430","35,437","35,698","36,871","37,147","38,051","32,527","35,519"
ITL3,TLC21,Northumberland,"5,206","5,283","5,334","5,517","5,775","5,861","6,150","6,176","6,332","6,265","6,143","5,804","6,016","6,045","6,054","6,057","6,192","6,237","6,233","6,300","6,287","6,511","5,727","6,235"
ITL3,TLC22,Tyneside,"15,047","15,043","15,498","16,282","17,137","17,604","18,704","19,135","19,666","19,578","19,078","18,027","18,858","19,657","20,248","19,839","20,344","21,061","21,462","22,317","22,750","23,396","19,798","22,209"
ITL3,TLC23,Sunderland,"5,464","5,507","5,711","6,264","6,471","6,680","7,024","7,046","7,205","7,158","7,132","6,762","6,809","6,978","6,950","7,374","7,562","7,892","7,891","8,046","8,024","8,143","6,955","7,236"
ITL1,TLD,North West,"142,738","148,606","151,802","156,711","160,370","165,639","170,947","174,882","180,073","183,036","180,476","173,095","179,534","180,696","183,671","186,972","192,707","198,073","202,164","207,820","210,236","214,718","188,964","207,654"
ITL2,TLD1,Cumbria,"11,059","11,420","11,261","11,082","11,410","11,934","12,068","12,354","12,958","12,863","13,128","12,376","12,687","12,431","12,852","13,004","13,589","13,864","13,828","14,023","13,720","14,051","12,394","13,435"
ITL3,TLD11,West Cumbria,"4,743","5,152","4,747","4,706","4,787","4,920","4,902","5,047","5,360","5,264","5,374","5,143","5,268","5,163","5,362","5,423","5,719","5,950","5,820","5,771","5,720","5,756","5,280","5,741"
ITL3,TLD12,East Cumbria,"6,247","6,363","6,614","6,527","6,774","7,127","7,223","7,350","7,740","7,699","7,759","7,404","7,564","7,471","7,562","7,693","7,948","8,075","8,058","8,164","7,944","8,296","6,968","7,646"
ITL2,TLD3,Greater Manchester,"52,380","54,661","55,833","57,270","58,498","59,880","61,637","63,686","65,314","67,598","66,597","64,796","66,891","67,181","69,314","71,352","72,774","75,384","77,319","80,688","83,167","84,743","75,148","82,661"
ITL3,TLD33,Manchester,"14,096","14,587","14,950","15,371","15,780","16,231","16,982","17,953","18,519","19,706","19,664","19,170","19,863","19,982","20,839","20,935","21,398","22,225","23,484","25,207","25,933","27,196","23,682","26,576"
