ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UK,United Kingdom,"58,474,943","58,684,427","58,886,065","59,113,016","59,365,677","59,636,662","59,950,364","60,413,276","60,826,967","61,319,075","61,823,772","62,260,486","62,759,456","63,285,145","63,705,030","64,105,654","64,596,752","65,110,034","65,648,054","66,040,229","66,435,550","66,796,807","67,081,234","67,026,307"
Other ,TLB,England,"48,820,583","49,032,872","49,233,311","49,449,746","49,679,267","49,925,517","50,194,600","50,606,034","50,965,186","51,381,093","51,815,853","52,196,381","52,642,452","53,107,169","53,493,729","53,865,817","54,316,618","54,786,327","55,268,067","55,619,430","55,977,178","56,286,961","56,550,138","56,536,419"
ITL1,TLC,North East,"2,560,883","2,550,314","2,543,421","2,540,090","2,540,600","2,540,461","2,540,502","2,547,126","2,552,568","2,562,045","2,569,312","2,575,441","2,586,868","2,596,441","2,602,387","2,610,563","2,618,736","2,624,579","2,636,589","2,644,727","2,657,909","2,669,940","2,680,763","2,646,772"
ITL2,TLC1,Tees Valley and Durham,"1,149,732","1,147,357","1,146,998","1,145,911","1,145,555","1,146,290","1,147,588","1,151,006","1,154,698","1,159,628","1,164,126","1,166,314","1,171,381","1,176,022","1,178,214","1,181,615","1,184,572","1,187,605","1,192,728","1,196,159","1,201,264","1,206,038","1,210,319","1,199,519"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"269,103","270,524","272,328","273,947","274,933","275,833","276,004","276,807","278,051","278,906","280,418","281,508","282,675","283,912","284,748","286,095","287,029","287,626","288,803","289,506","290,455","291,011","291,255","289,601"
ITL3,TLC12,South Teesside,"284,411","282,565","281,444","280,392","278,610","277,615","277,094","276,694","275,790","275,130","274,397","273,140","273,050","273,532","273,702","273,871","274,093","274,634","275,822","276,644","277,263","278,130","278,513","280,350"
ITL3,TLC13,Darlington,"99,273","98,172","98,088","97,894","98,474","98,911","99,343","100,287","101,509","102,632","103,694","104,355","105,028","105,584","105,503","105,726","105,877","105,998","106,327","106,347","106,566","106,803","107,402","108,222"
ITL3,TLC14,Durham CC,"496,945","496,096","495,138","493,678","493,538","493,931","495,147","497,218","499,348","502,960","505,617","507,311","510,628","512,994","514,261","515,923","517,573","519,347","521,776","523,662","526,980","530,094","533,149","521,346"
ITL2,TLC2,"Northumberland, and Tyne and Wear","1,411,151","1,402,957","1,396,423","1,394,179","1,395,045","1,394,171","1,392,914","1,396,121","1,397,870","1,402,417","1,405,186","1,409,127","1,415,487","1,420,419","1,424,173","1,428,948","1,434,164","1,436,974","1,443,861","1,448,568","1,456,645","1,463,903","1,470,444","1,447,253"
ITL3,TLC21,Northumberland,"307,241","307,490","307,348","307,363","308,499","309,448","310,140","310,752","311,375","312,960","314,057","314,489","315,463","316,278","316,489","316,389","316,832","316,453","317,444","319,030","320,274","322,434","323,820","321,558"
ITL3,TLC22,Tyneside,"814,201","807,940","803,355","802,215","803,509","803,195","802,661","806,170","808,125","811,623","814,317","818,429","824,044","828,811","831,920","836,470","840,550","843,708","849,110","852,289","858,954","863,764","868,778","851,484"
ITL3,TLC23,Sunderland,"289,709","287,527","285,720","284,601","283,037","281,528","280,113","279,199","278,370","277,834","276,812","276,209","275,980","275,330","275,764","276,089","276,782","276,813","277,307","277,249","277,417","277,705","277,846","274,211"
ITL1,TLD,North West,"6,792,173","6,773,115","6,774,223","6,772,984","6,784,879","6,814,660","6,840,369","6,870,021","6,901,585","6,929,277","6,958,547","6,986,156","7,019,920","7,055,961","7,084,470","7,103,488","7,133,026","7,175,178","7,223,961","7,258,627","7,292,092","7,341,196","7,367,455","7,422,294"
ITL2,TLD1,Cumbria,"489,033","488,145","487,602","487,795","488,681","491,329","494,918","497,040","498,813","500,779","500,916","500,786","500,165","499,817","499,205","498,499","498,376","498,581","498,793","498,375","498,888","500,012","499,781","500,821"
ITL3,TLD11,West Cumbria,"236,590","236,398","235,111","234,755","234,251","234,746","235,441","235,479","235,875","236,591","236,819","236,815","236,359","236,127","235,049","234,257","234,167","234,120","233,937","233,001","233,088","232,993","232,598","230,935"
ITL3,TLD12,East Cumbria,"252,443","251,747","252,491","253,040","254,430","256,583","259,477","261,561","262,938","264,188","264,097","263,971","263,806","263,690","264,156","264,242","264,209","264,461","264,856","265,374","265,800","267,019","267,183","269,886"
ITL2,TLD3,Greater Manchester,"2,521,915","2,515,488","2,516,339","2,516,096","2,523,214","2,538,555","2,549,752","2,564,055","2,582,260","2,598,619","2,620,007","2,639,833","2,661,841","2,685,386","2,701,377","2,713,572","2,730,123","2,754,017","2,780,844","2,798,799","2,812,569","2,835,686","2,848,286","2,868,387"
ITL3,TLD33,Manchester,"417,726","416,438","421,799","422,915","428,221","436,727","444,925","455,745","463,749","470,538","477,408","483,784","492,598","502,902","510,501","513,665","518,834","529,809","541,319","545,501","547,627","552,858","555,741","549,853"
ITL3,TLD34,Greater Manchester South West,"435,799","432,969","429,976","427,150","427,372","430,343","432,050","434,966","439,300","442,827","447,721","452,013","457,071","461,578","465,254","468,820","473,858","478,161","482,331","486,825","490,778","496,188","500,276","506,310"
ITL3,TLD35,Greater Manchester South East,"502,058","499,391","497,319","497,644","496,713","496,402","496,035","494,669","494,685","495,703","497,837","499,680","501,388","502,980","503,967","505,435","507,084","509,676","512,930","515,164","516,972","519,916","521,314","526,442"
ITL3,TLD36,Greater Manchester North West,"562,610","562,385","562,168","562,755","564,672","567,660","569,469","571,159","574,839","577,722","582,468","587,412","591,464","595,418","597,824","600,081","601,902","604,072","607,062","609,463","611,460","616,212","618,960","625,800"
ITL3,TLD37,Greater Manchester North East,"603,722","604,305","605,077","605,632","606,236","607,423","607,273","607,516","609,687","611,829","614,573","616,944","619,320","622,508","623,831","625,571","628,445","632,299","637,202","641,846","645,732","650,512","651,995","659,982"
ITL2,TLD4,Lancashire,"1,412,688","1,410,858","1,414,141","1,417,265","1,420,076","1,427,668","1,434,024","1,440,141","1,445,983","1,449,418","1,451,175","1,452,916","1,457,298","1,461,295","1,465,261","1,467,960","1,470,919","1,476,893","1,483,863","1,490,497","1,498,300","1,508,941","1,515,487","1,531,911"
ITL3,TLD41,Blackburn with Darwen,"139,568","138,233","138,196","138,453","139,538","140,429","141,418","142,145","143,110","143,942","144,902","146,197","146,966","147,657","147,854","147,763","147,416","147,856","148,462","148,772","148,942","149,696","150,030","154,922"
ITL3,TLD42,Blackpool,"144,120","142,995","143,035","142,270","142,164","142,658","143,143","143,688","143,733","143,644","142,921","142,578","142,753","142,080","142,037","141,603","140,898","140,162","139,983","139,870","139,305","139,446","138,381","140,954"
ITL3,TLD44,Lancaster and Wyre,"237,158","238,098","238,567","239,849","240,072","241,881","243,232","244,952","245,117","244,710","244,057","244,070","245,032","245,515","247,126","248,002","248,766","250,333","251,725","252,913","255,469","258,129","261,186","254,619"
ITL3,TLD45,Mid Lancashire,"359,370","360,554","361,603","361,714","363,949","367,446","370,709","373,152","375,784","377,889","378,661","379,010","380,505","382,625","383,134","383,392","384,268","386,379","388,176","390,113","392,172","395,591","398,470","402,573"
ITL3,TLD46,East Lancashire,"324,789","324,295","324,626","325,940","324,461","323,978","323,156","323,119","324,124","324,151","324,572","324,796","324,836","325,210","325,124","325,453","326,103","326,718","328,190","329,176","331,642","333,557","334,054","343,781"
ITL3,TLD47,Chorley and West Lancashire,"207,683","206,683","208,114","209,039","209,892","211,276","212,366","213,085","214,115","215,082","216,062","216,265","217,206","218,208","219,986","221,747","223,468","225,445","227,327","229,653","230,770","232,522","233,366","235,062"
ITL2,TLD6,Cheshire,"861,767","860,850","862,976","865,460","867,620","871,894","874,687","879,968","885,010","890,926","894,700","897,196","899,913","902,971","906,402","909,240","913,559","917,452","922,000","926,536","930,839","937,237","939,887","969,454"
ITL3,TLD61,Warrington,"189,569","190,320","190,629","191,202","191,615","191,987","191,837","192,992","194,603","196,559","198,187","200,057","201,309","202,709","203,795","205,165","206,681","207,781","208,973","209,704","209,547","210,014","209,397","211,227"
ITL3,TLD62,Cheshire East,"352,066","350,932","351,234","352,104","353,348","355,529","357,354","359,807","362,049","365,003","367,160","368,023","369,051","370,736","372,383","373,006","374,606","375,722","377,303","378,846","380,790","384,152","386,667","400,528"
ITL3,TLD63,Cheshire West and Chester,"320,132","319,598","321,113","322,154","322,657","324,378","325,496","327,169","328,358","329,364","329,353","329,116","329,553","329,526","330,224","331,069","332,272","333,949","335,724","337,986","340,502","343,071","343,823","357,699"
ITL2,TLD7,Merseyside,"1,506,770","1,497,774","1,493,165","1,486,369","1,485,289","1,485,214","1,486,988","1,488,817","1,489,519","1,489,535","1,491,749","1,495,425","1,500,704","1,506,492","1,512,225","1,514,217","1,520,049","1,528,235","1,538,461","1,544,420","1,551,497","1,559,320","1,564,015","1,551,722"
ITL3,TLD71,East Merseyside,"449,744","448,184","447,275","446,623","445,589","444,970","444,914","444,657","445,262","445,198","445,835","445,978","446,403","447,030","447,847","448,386","450,121","451,573","453,787","455,486","458,052","460,857","463,306","466,942"
ITL3,TLD72,Liverpool,"453,238","448,417","446,050","441,858","443,784","444,960","448,091","452,278","453,055","453,582","454,468","457,523","461,403","465,656","470,191","471,789","474,569","480,873","487,605","491,549","494,814","498,042","500,474","484,488"
ITL3,TLD73,Sefton,"285,159","284,162","283,337","282,884","280,866","279,913","278,853","276,957","275,852","275,085","274,735","274,153","273,820","273,969","273,798","273,372","273,856","274,089","274,853","274,589","275,396","276,410","275,899","279,692"
