ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UK,United Kingdom,"999,326","1,044,150","1,101,143","1,145,323","1,191,515","1,259,675","1,323,420","1,399,643","1,472,837","1,545,792","1,594,737","1,551,882","1,612,381","1,664,211","1,713,241","1,782,296","1,862,827","1,920,998","1,999,461","2,085,008","2,157,410","2,238,348","2,109,594","2,276,715"
Other,TLB,England,"849,694","888,973","932,514","970,147","1,012,225","1,069,511","1,121,901","1,184,536","1,244,637","1,309,823","1,348,548","1,317,534","1,368,641","1,410,690","1,455,749","1,516,749","1,591,949","1,651,549","1,722,294","1,792,817","1,851,898","1,922,734","1,818,322","1,961,238"
ITL1,TLC,North East,"32,662","33,371","34,430","35,897","38,217","40,396","43,458","45,389","47,653","48,897","50,058","49,363","50,756","52,074","53,379","54,317","55,987","57,995","59,155","60,705","62,187","64,765","60,356","65,045"
ITL2,TLC1,Tees Valley and Durham,"13,954","14,572","15,075","15,405","16,185","17,311","18,451","19,105","20,120","20,833","21,507","21,445","21,839","22,105","22,484","22,861","23,513","24,406","24,668","24,889","25,835","26,714","25,292","27,364"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"3,763","3,950","4,062","4,121","4,343","4,645","4,950","5,115","5,452","5,743","5,837","5,920","5,992","6,078","6,152","6,378","6,527","6,902","7,103","7,071","7,166","7,510","7,211","7,777"
ITL3,TLC12,South Teesside,"3,157","3,259","3,350","3,351","3,469","3,739","3,924","4,113","4,270","4,377","4,557","4,532","4,615","4,717","4,799","4,807","4,968","5,169","5,243","5,232","5,528","5,639","5,276","5,779"
ITL3,TLC13,Darlington,"1,675","1,721","1,853","1,960","2,087","2,222","2,370","2,362","2,406","2,379","2,504","2,362","2,448","2,535","2,541","2,567","2,849","3,019","2,892","2,881","2,878","2,858","2,630","2,790"
ITL3,TLC14,Durham CC,"5,359","5,642","5,810","5,972","6,287","6,706","7,207","7,516","7,992","8,334","8,609","8,630","8,785","8,775","8,992","9,110","9,170","9,317","9,431","9,706","10,263","10,708","10,174","11,018"
ITL2,TLC2,"Northumberland, and Tyne and Wear","18,708","18,798","19,355","20,493","22,031","23,085","25,007","26,284","27,533","28,064","28,551","27,918","28,917","29,969","30,894","31,455","32,474","33,589","34,487","35,815","36,352","38,051","35,064","37,681"
ITL3,TLC21,Northumberland,"3,484","3,516","3,588","3,724","4,008","4,162","4,447","4,625","4,843","4,973","5,113","4,964","5,165","5,275","5,343","5,391","5,562","5,684","5,906","6,056","6,175","6,511","6,098","6,557"
