ITL level,ITL code,Region name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UKX,UK less Extra-Regio,24.8,25.7,26.8,27.9,29,29.1,30,30.2,30.6,31.3,31.9,32.8,33.4,34.5,35.3,36.2,39,38.7
Other,TLB,England,25.3,26.3,27.5,28.6,29.7,29.7,30.6,30.8,31.1,31.8,32.4,33.3,33.9,35,35.8,36.7,39.6,39.3
ITL1,TLC,North East,22.1,22.9,23.5,24.1,24.9,25.1,25.9,26.7,27.3,27.3,27.7,28.6,29.3,29.7,29.7,31.4,33.3,31.9
ITL2,TLC1,Tees Valley and Durham,22,23.4,24,24.8,26,26.3,26.6,27.3,27.6,27.4,27.8,28.9,29.5,29.3,30,30.7,32.7,31
ITL3,TLC11,Hartlepool and Stockton-on-Tees,23.6,24.5,26,28.2,27.3,29.2,29.4,29.1,31.8,31.4,31.3,32.4,33.3,31.6,32.7,34.4,38.9,36.7
ITL3,TLC12,South Teesside,19.2,20.8,21.3,21.4,23.6,23.6,24.6,25,24,24.1,26,27.1,27.4,27.6,28,27.8,30.8,28
ITL3,TLC13,Darlington,26.6,26.8,25.6,24.3,25.3,25.9,23.9,27.5,25.7,28.1,29,31.9,31.9,32.6,31.5,32.5,26.8,28.4
ITL3,TLC14,Durham CC,21.3,23.3,23.8,24.8,26.8,26.2,27,27.4,27.9,26.6,26.4,26.8,27.6,27.8,28.9,29.5,31.8,30
ITL2,TLC2,"Northumberland, and Tyne and Wear",22.2,22.6,23.2,23.7,24.1,24.2,25.4,26.3,27.1,27.3,27.7,28.4,29.1,29.9,29.5,31.9,33.7,32.7
ITL3,TLC21,Northumberland,20,21.5,22,22.1,22,21.3,22.4,24.2,25.7,24.4,25.9,26.5,26.7,27.6,27.6,28.1,31,31
ITL3,TLC22,Tyneside,22,22.3,23.1,23.8,24.2,24.1,25.1,26.2,27,26.8,26.5,27.5,28.6,29.1,28.5,31.2,33.7,32.7
ITL3,TLC23,Sunderland,25.1,24.5,24.9,25.1,25.8,27.5,29.7,28.7,28.8,31.6,33.2,33.3,33.3,35.1,34.5,38.3,36.4,34.1
ITL1,TLD,North West,22.9,23.9,25.2,26,26.8,27,27.4,27.8,28.1,28.8,28.6,29.8,30.6,31.6,31.8,32.1,35.2,35.1
ITL2,TLD1,Cumbria,20.9,23.7,24.6,22.7,24.8,24.7,23.7,26.1,25.8,26.7,26.6,28,28.3,28.4,29.1,29.9,30.5,30.9
ITL3,TLD11,West Cumbria,21.4,23.8,24.5,23.9,25.9,24.7,24,25.3,26.5,28.2,28.6,28.1,28.6,28.5,28.8,28.6,31.5,33.3
ITL3,TLD12,East Cumbria,20.6,23.6,24.7,22,24,24.7,23.5,26.8,25.2,25.6,25.2,27.9,28.1,28.4,29.4,31,29.8,29.5
