ITL level,ITL code,Region name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UKX,United Kingdom less Extra-Regio,"36,253","38,045","39,551","41,398","43,155","44,895","46,047","46,031","47,094","47,836","48,906","50,318","51,435","52,454","53,885","55,615","56,752","58,366","56,244","60,340"
Other,TLB,England,"37,047","38,858","40,342","42,327","44,067","45,875","47,070","46,910","48,053","48,722","49,726","51,113","52,319","53,360","54,831","56,554","57,684","59,306","57,203","61,310"
ITL1,TLC,North East,"31,527","32,763","34,954","35,814","37,063","37,852","38,792","38,776","39,968","41,021","42,308","42,517","43,794","44,482","46,088","46,583","46,547","49,308","46,409","48,828"
ITL2,TLC1,Tees Valley and Durham,"31,375","32,683","34,997","36,147","36,842","37,822","39,676","40,385","41,244","41,789","42,894","42,698","43,998","44,666","46,359","46,239","46,931","48,957","46,131","48,543"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"32,746","34,708","37,061","37,936","39,577","42,136","43,581","44,071","45,550","45,181","47,896","48,083","48,647","50,468","53,098","52,307","52,441","54,737","51,003","56,431"
ITL3,TLC12,South Teesside,"27,808","28,635","29,117","30,617","31,625","32,226","35,374","35,497","36,136","38,300","37,348","37,604","39,133","40,544","41,686","41,903","43,510","44,876","43,419","44,381"
ITL3,TLC13,Darlington,"37,910","37,994","42,809","41,683","41,351","38,850","41,528","40,040","37,545","43,515","41,798","43,055","48,281","50,125","48,623","51,075","49,436","49,797","42,822","44,977"
ITL3,TLC14,Durham CC,"30,760","32,292","35,232","36,957","37,043","38,226","39,222","41,029","42,789","41,104","43,467","42,187","42,646","41,763","44,055","43,554","44,766","47,365","45,361","47,046"
ITL2,TLC2,"Northumberland, and Tyne and Wear","31,637","32,823","34,923","35,580","37,223","37,874","38,160","37,635","39,067","40,481","41,898","42,389","43,649","44,351","45,900","46,820","46,279","49,554","46,610","49,035"
ITL3,TLC21,Northumberland,"29,957","30,432","31,851","32,836","33,696","35,109","35,070","33,595","35,503","37,554","39,259","37,740","40,510","40,250","42,728","41,711","42,125","44,429","44,099","46,417"
ITL3,TLC22,Tyneside,"31,172","32,555","34,876","35,538","37,352","37,893","38,075","37,259","38,449","40,277","41,731","41,420","42,214","42,935","44,368","45,873","45,086","48,228","45,752","48,570"
ITL3,TLC23,Sunderland,"34,857","36,117","38,143","38,348","40,261","40,464","41,465","42,991","44,915","43,997","44,873","50,182","51,344","53,210","54,248","54,984","54,459","59,335","51,782","53,081"
ITL1,TLD,North West,"33,311","34,807","36,079","38,061","40,222","41,204","41,952","42,070","42,833","43,252","44,371","45,407","46,073","47,673","48,971","50,456","50,802","52,096","50,146","54,193"
ITL2,TLD1,Cumbria,"32,253","31,436","32,008","36,499","36,420","37,198","39,572","38,630","39,707","39,609","39,529","40,919","42,507","43,918","43,746","45,479","45,202","46,648","43,386","48,223"
ITL3,TLD11,West Cumbria,"32,970","31,162","31,825","37,567","36,993","37,481","40,744","39,070","41,379","40,551","41,071","43,375","45,260","45,447","45,429","44,904","44,787","46,122","44,836","48,334"
ITL3,TLD12,East Cumbria,"31,752","31,625","32,136","35,772","36,025","37,002","38,767","38,314","38,548","38,932","38,443","39,234","40,614","42,829","42,587","45,900","45,501","47,016","42,421","48,146"
ITL2,TLD3,Greater Manchester,"32,793","33,780","34,779","37,216","39,701","40,960","41,716","42,242","42,429","43,252","44,647","45,779","45,624","47,326","48,311","50,248","50,705","52,099","50,658","53,812"
ITL3,TLD33,Manchester,"34,153","36,286","38,233","42,491","44,267","46,020","46,823","48,701","48,256","49,762","51,000","49,207","49,564","50,945","51,940","54,979","55,637","58,533","55,509","60,221"
ITL3,TLD34,Greater Manchester South West,"37,037","38,345","38,945","42,700","45,718","46,555","47,865","47,356","46,531","46,683","48,783","51,845","52,038","53,800","55,328","55,679","57,916","57,974","57,685","58,858"
ITL3,TLD35,Greater Manchester South East,"31,777","33,245","33,051","34,511","36,905","37,751","38,344","39,118","40,526","39,674","41,000","43,075","42,091","42,882","44,323","48,033","46,616","46,273","46,226","47,689"
ITL3,TLD36,Greater Manchester North West,"29,997","30,307","31,512","32,213","34,874","36,639","36,308","36,601","36,928","37,909","39,407","41,266","40,526","43,062","44,232","45,003","45,334","44,649","43,971","48,460"
ITL3,TLD37,Greater Manchester North East,"29,864","29,378","30,259","31,871","34,165","34,973","36,185","35,884","36,370","38,212","38,770","40,175","40,070","41,942","41,732","42,954","42,937","46,482","44,193","46,825"
ITL2,TLD4,Lancashire,"31,409","34,203","35,204","36,812","37,598","38,472","38,601","37,325","38,553","38,445","40,625","41,297","42,155","44,961","46,690","48,675","47,982","48,897","46,317","51,576"
ITL3,TLD41,Blackburn with Darwen,"26,434","28,620","28,394","30,108","31,884","31,202","32,187","33,054","35,082","37,471","37,552","37,424","38,230","41,403","42,807","44,162","41,458","46,200","42,298","47,013"
ITL3,TLD42,Blackpool,"22,592","27,338","27,290","30,417","28,830","30,374","31,098","28,846","31,635","32,271","32,834","33,616","32,892","34,906","37,849","39,930","38,953","41,146","37,767","38,572"
ITL3,TLD44,Lancaster and Wyre,"27,659","30,001","31,221","32,944","34,810","35,525","34,580","32,342","32,693","32,784","38,033","38,077","38,457","44,116","42,081","43,229","44,489","47,040","42,872","49,106"
ITL3,TLD45,Mid Lancashire,"39,229","41,368","43,677","45,349","46,145","46,696","46,786","44,029","44,568","43,660","46,561","47,099","48,906","51,929","55,703","56,441","56,088","53,640","53,372","59,956"
ITL3,TLD46,East Lancashire,"29,879","32,647","33,888","35,583","36,611","38,472","37,151","36,989","39,619","38,877","39,970","41,715","42,198","42,622","44,145","47,778","46,232","46,767","43,670","50,609"
ITL3,TLD47,Chorley and West Lancashire,"29,714","32,547","32,194","32,026","32,623","33,323","35,670","36,210","36,212","35,969","37,191","37,888","39,284","41,841","43,196","46,339","46,933","49,813","46,226","49,134"
ITL2,TLD6,Cheshire,"39,886","40,729","43,215","44,620","47,172","49,315","48,937","48,698","50,131","51,129","52,670","53,402","54,988","55,111","57,316","59,143","60,487","61,987","59,575","65,630"
ITL3,TLD61,Warrington,"36,992","40,686","41,507","43,084","44,009","48,369","46,066","44,191","43,793","43,969","45,260","46,455","48,266","51,614","48,734","53,781","54,322","56,104","53,148","58,601"
ITL3,TLD62,Cheshire East,"44,812","42,257","47,511","48,869","50,971","51,587","51,770","50,163","52,981","55,257","57,360","57,499","58,892","59,552","68,125","66,828","67,491","67,805","65,473","70,523"
ITL3,TLD63,Cheshire West and Chester,"36,715","39,079","39,757","40,993","45,093","47,358","47,813","50,343","51,676","51,906","52,914","54,011","55,558","52,472","52,520","55,016","57,473","60,021","57,917","65,627"
ITL2,TLD7,Merseyside,"31,909","34,505","36,094","36,824","40,321","40,174","41,776","43,225","43,915","43,947","43,476","44,667","45,640","46,847","48,103","47,716","48,432","49,647","48,170","50,955"
ITL3,TLD71,East Merseyside,"36,443","40,677","40,672","40,454","44,228","43,562","45,630","47,011","48,028","48,005","45,626","50,010","49,855","51,592","51,989","52,465","53,380","52,889","49,715","52,264"
ITL3,TLD72,Liverpool,"33,194","36,073","37,978","38,932","42,636","42,200","42,984","45,325","46,501","46,451","46,042","46,375","47,370","48,059","48,819","48,832","48,209","49,832","48,758","51,853"
ITL3,TLD73,Sefton,"24,297","25,800","27,538","28,817","31,819","32,421","35,240","35,521","35,944","35,753","36,628","35,615","37,281","39,212","41,144","41,045","43,238","44,284","41,885","46,396"
ITL3,TLD74,Wirral,"29,592","30,573","33,361","34,092","36,912","37,347","38,489","39,274","38,673","38,961","39,986","40,291","41,871","42,735","45,632","42,857","44,779","47,810","49,616","50,302"
ITL1,TLE,Yorkshire and The Humber,"32,159","33,789","34,571","36,213","37,863","39,852","40,339","39,878","40,162","40,586","41,594","42,613","43,069","44,003","44,285","46,259","47,203","48,930","47,467","51,108"
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,"32,882","34,470","35,104","37,262","39,173","41,064","43,793","41,932","41,620","40,372","41,637","42,724","42,959","45,528","45,065","46,204","46,788","50,614","48,338","52,188"
ITL3,TLE11,"Kingston upon Hull, City of","29,861","31,487","30,214","32,999","36,604","38,483","43,980","43,522","42,235","39,684","40,715","40,613","40,826","43,001","43,873","43,039","43,679","45,673","42,078","46,481"
ITL3,TLE12,East Riding of Yorkshire,"36,695","37,023","40,468","42,124","44,208","43,631","44,662","40,426","39,570","39,712","41,691","43,295","43,307","45,799","43,636","45,617","47,818","50,137","50,850","53,987"
ITL3,TLE13,North and North East Lincolnshire,"32,243","34,810","34,991","36,908","37,169","41,061","42,920","41,959","42,970","41,559","42,400","44,073","44,476","47,407","47,422","49,532","48,584","55,379","51,558","55,277"
ITL2,TLE2,North Yorkshire,"33,756","35,139","37,944","37,765","38,612","40,691","40,778","39,285","39,540","40,899","41,024","42,300","43,420","42,668","43,869","47,094","46,651","49,497","47,226","50,564"
ITL3,TLE21,York,"38,890","40,309","43,048","45,341","45,785","47,347","45,883","44,968","45,288","45,425","45,995","48,020","47,931","50,056","51,469","52,914","52,135","53,661","48,620","51,556"
ITL3,TLE22,North Yorkshire CC,"31,873","33,206","35,975","35,051","36,086","38,310","38,907","37,263","37,444","39,194","39,173","40,280","41,758","40,177","41,315","45,031","44,656","47,968","46,694","50,188"
ITL2,TLE3,South Yorkshire,"30,101","31,482","31,813","32,937","34,507","36,887","36,802","36,588","38,080","38,597","39,873","41,021","40,737","41,922","41,410","43,749","43,951","45,245","43,992","47,631"
ITL3,TLE31,"Barnsley, Doncaster and Rotherham","28,961","30,334","30,081","31,142","32,433","34,994","35,748","34,794","36,144","36,622","37,985","38,564","39,056","39,693","39,654","42,981","42,915","44,559","42,538","46,323"
ITL3,TLE32,Sheffield,"31,407","32,791","33,872","35,046","36,967","39,113","37,995","38,614","40,310","40,828","42,002","43,867","42,653","44,592","43,491","44,653","45,195","46,048","45,718","49,183"
ITL2,TLE4,West Yorkshire,"32,363","34,243","34,633","37,024","38,932","40,697","40,799","41,128","40,966","41,610","42,731","43,540","44,238","45,081","45,725","47,288","49,299","50,061","49,118","52,769"
ITL3,TLE41,Bradford,"28,772","30,129","31,696","33,384","34,868","35,945","37,314","36,420","37,040","38,101","39,271","39,494","40,478","40,733","41,403","42,950","44,679","45,467","44,688","46,829"
ITL3,TLE42,Leeds,"35,752","38,508","39,322","42,485","44,552","47,978","45,855","48,179","47,377","48,052","49,650","50,378","51,406","51,359","52,505","52,389","53,803","54,668","53,511","57,858"
ITL3,TLE44,Calderdale and Kirklees,"27,564","29,246","28,732","30,889","32,335","34,260","35,110","33,856","34,225","34,313","35,506","36,887","37,486","39,522","39,728","43,485","45,889","46,053","45,756","48,470"
ITL3,TLE45,Wakefield,"36,653","36,782","35,640","37,208","39,777","37,831","40,321","40,410","39,394","40,512","40,072","40,825","40,846","42,638","43,006","44,925","47,787","49,021","47,495","52,997"
ITL1,TLF,East Midlands,"32,230","33,510","34,724","35,262","37,000","37,895","39,578","39,426","40,370","40,205","41,603","43,335","44,258","44,776","45,395","46,400","48,490","49,386","48,049","51,835"
ITL2,TLF1,Derbyshire and Nottinghamshire,"32,059","33,299","34,961","35,684","36,973","37,787","39,177","39,046","40,018","40,644","41,683","43,302","43,639","43,938","45,107","46,379","47,774","49,248","49,337","52,871"
ITL3,TLF11,Derby,"38,451","40,639","41,570","44,463","46,681","44,933","46,605","47,467","48,565","50,474","49,639","51,237","49,655","49,282","50,032","49,048","50,202","49,893","48,309","49,607"
ITL3,TLF12,East Derbyshire,"32,928","31,664","34,148","35,867","36,036","38,758","39,299","39,914","39,928","38,159","39,177","41,335","43,873","44,760","45,900","47,702","47,814","52,150","55,838","55,217"
ITL3,TLF13,South and West Derbyshire,"30,444","31,597","33,064","33,685","34,242","35,903","36,421","35,812","37,272","37,583","38,156","42,952","45,293","45,576","46,862","47,006","47,815","49,439","51,790","57,418"
