GEOGRAPHY_NAME,econ_activity,qual,count
Barnsley,Total,Total,199791
Barnsley,Total,No qualifications,50329
Barnsley,Total,Level 1 and entry level qualifications,21588
Barnsley,Total,Level 2 qualifications,28979
Barnsley,Total,Apprenticeship,13193
Barnsley,Total,Level 3 qualifications,33652
Barnsley,Total,Level 4 qualifications or above,46798
Barnsley,Total,Other qualifications,5252
Doncaster,Total,Total,250923
Doncaster,Total,No qualifications,61804
Doncaster,Total,Level 1 and entry level qualifications,28721
Doncaster,Total,Level 2 qualifications,37904
Doncaster,Total,Apprenticeship,16765
Doncaster,Total,Level 3 qualifications,41594
Doncaster,Total,Level 4 qualifications or above,56930
Doncaster,Total,Other qualifications,7205
Rotherham,Total,Total,215574
Rotherham,Total,No qualifications,50529
Rotherham,Total,Level 1 and entry level qualifications,24545
Rotherham,Total,Level 2 qualifications,33612
Rotherham,Total,Apprenticeship,14397
Rotherham,Total,Level 3 qualifications,36880
Rotherham,Total,Level 4 qualifications or above,49809
Rotherham,Total,Other qualifications,5802
Sheffield,Total,Total,456253
Sheffield,Total,No qualifications,88424
Sheffield,Total,Level 1 and entry level qualifications,41454
Sheffield,Total,Level 2 qualifications,53589
Sheffield,Total,Apprenticeship,24865
Sheffield,Total,Level 3 qualifications,84715
Sheffield,Total,Level 4 qualifications or above,152193
Sheffield,Total,Other qualifications,11013
