ITL region code,ITL region name,SIC07 code,SIC07 description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,United Kingdom,Total,All industries,"1,345,618","1,388,163","1,445,939","1,476,278","1,499,302","1,546,343","1,579,946","1,625,974","1,663,377","1,705,932","1,706,544","1,630,218","1,672,395","1,691,509","1,719,951","1,749,581","1,806,272","1,845,715","1,887,684","1,934,958","1,966,244","2,000,157","1,788,734","1,928,175"
UK,United Kingdom,A-E,Production sector,"244,491","257,030","263,034","270,513","276,103","282,652","279,691","278,303","287,193","281,810","280,858","261,801","256,647","246,171","244,424","249,379","258,619","268,785","268,770","268,863","275,877","284,149","287,029","308,607"
UK,United Kingdom,A (1-3),"Agriculture, forestry and fishing","8,858","10,051","11,004","11,071","13,680","13,145","11,766","12,826","12,511","11,124","13,874","12,954","10,921","13,883","11,714","11,524","16,320","14,085","12,653","13,233","11,581","13,531","13,059","13,851"
UK,United Kingdom,1,Agriculture and hunting,"7,926","8,976","9,962","9,835","12,321","11,786","10,423","11,377","11,113","9,856","12,338","11,202","9,514","12,556","10,184","9,956","14,350","12,309","10,971","11,577","10,190","11,803","11,196","11,851"
UK,United Kingdom,2,Forestry and logging,737,999,"1,019","1,148","1,289","1,682","1,745","1,432","1,386","1,253","1,605","1,986","1,338","1,109","1,337","1,295","1,085","1,159","1,111",984,752,969,"1,110","1,173"
UK,United Kingdom,3,Fishing and aquaculture,415,424,352,478,478,416,457,563,541,495,563,660,591,515,534,577,882,703,666,687,625,759,753,827
UK,United Kingdom,B (5-9),Mining and quarrying,"81,662","81,047","73,893","69,219","66,496","62,022","58,794","52,621","45,977","42,032","37,903","34,746","30,789","22,710","19,673","17,137","17,339","19,835","21,723","20,053","21,312","21,777","21,070","18,763"
UK,United Kingdom,5-8,"Mining and quarrying, excluding support activities","87,564","87,923","79,595","74,308","71,297","66,498","61,990","54,964","46,389","41,939","36,476","33,584","29,153","21,429","18,063","15,541","15,637","16,571","19,827","18,592","20,149","20,285","19,475","17,206"
UK,United Kingdom,9,Mining support service activities,"1,077",956,941,932,914,853,"1,036","1,056","1,458","1,526","1,950","1,709","1,758","1,339","1,563","1,524","1,622","3,011","1,866","1,481","1,169","1,492","1,595","1,557"
UK,United Kingdom,C (10-33),Manufacturing,"138,306","144,701","151,066","153,911","158,808","163,348","166,724","169,698","180,351","180,769","182,166","165,986","168,481","166,435","170,278","176,769","182,249","183,595","182,480","184,695","192,623","194,895","195,114","214,371"
UK,United Kingdom,CA (10-12),"Manufacture of food, beverages and tobacco","25,898","25,974","26,733","25,812","26,723","28,427","29,877","27,993","30,213","29,760","28,319","28,735","26,512","25,049","24,686","25,670","26,249","25,186","27,041","25,960","29,428","29,867","30,869","32,531"
UK,United Kingdom,10,Manufacture of food products,"20,200","19,956","20,587","20,241","20,706","22,096","23,132","21,115","22,584","22,335","20,474","20,581","18,762","17,743","17,841","18,793","19,572","18,641","21,014","19,396","22,806","23,712","24,814","25,420"
UK,United Kingdom,11-12,Manufacture of beverages and tobacco products,"6,012","6,372","6,507","5,886","6,376","6,706","7,145","7,280","8,104","7,883","8,389","8,747","8,346","7,864","7,285","7,275","6,972","6,846","6,114","6,741","6,650","6,155","6,055","7,111"
UK,United Kingdom,CB (13-15),"Manufacture of textiles, wearing apparel and leather","2,900","2,987","3,131","3,236","3,368","3,377","3,219","3,152","3,444","4,001","3,836","4,696","5,179","3,685","4,784","5,253","5,266","5,919","5,902","6,192","6,458","6,953","5,028","5,495"
UK,United Kingdom,13,Manufacture of textiles,"1,156","1,235","1,336","1,454","1,614","1,655","1,529","1,584","1,725","2,023","1,894","2,408","2,603","1,869","2,414","2,408","2,195","2,719","3,162","3,606","3,647","4,066","2,540","2,967"
UK,United Kingdom,14,Manufacture of wearing apparel,"1,292","1,295","1,311","1,373","1,307","1,375","1,332","1,236","1,323","1,561","1,447","1,717","2,100","1,419","1,833","2,416","2,678","2,852","2,439","2,187","2,482","2,410","2,101","2,090"
UK,United Kingdom,15,Manufacture of leather products,530,527,561,411,455,297,335,283,355,344,474,494,398,332,458,453,557,420,322,384,329,477,387,438
UK,United Kingdom,CC (16-18),Manufacture of wood and paper products and printing,"7,363","7,928","8,038","8,307","8,840","9,531","10,331","10,878","11,125","11,600","11,575","10,657","10,819","9,880","10,347","11,310","11,125","10,958","11,890","11,943","12,409","13,065","12,070","13,215"
UK,United Kingdom,16,"Manufacture of wood products, except furniture","2,189","2,439","2,429","2,488","2,458","2,522","2,947","2,818","2,910","2,924","2,792","2,119","2,312","2,315","2,419","2,469","2,512","2,895","3,330","3,033","3,288","3,647","3,505","4,007"
UK,United Kingdom,17,Manufacture of paper products,"1,802","2,072","1,978","2,166","2,629","2,908","3,105","3,147","2,852","3,393","3,169","3,125","3,789","3,139","3,481","4,065","3,875","3,633","3,657","3,932","3,974","4,468","4,295","4,515"
UK,United Kingdom,18,Printing and reproduction of recorded media,"3,633","3,685","3,908","3,904","3,931","4,247","4,502","5,043","5,451","5,419","5,686","5,432","4,798","4,510","4,504","4,816","4,770","4,451","4,921","4,968","5,150","4,950","4,270","4,693"
UK,United Kingdom,CD-CE (19-20),"Manufacture of coke, refined petroleum and chemicals","8,273","8,619","9,014","8,650","9,073","9,629","8,987","9,667","10,033","9,043","8,981","9,409","9,322","6,921","8,479","9,599","11,341","15,161","13,841","13,075","13,452","15,853","15,867","16,342"
UK,United Kingdom,CF (21),Manufacture of pharmaceutical products,"10,981","12,376","12,885","13,712","14,927","14,373","14,856","15,883","17,861","17,842","19,706","16,718","16,626","15,781","14,768","14,061","13,548","14,398","13,031","12,777","12,924","13,929","16,492","17,186"
UK,United Kingdom,CG (22-23),"Manufacture of rubber, plastic and non-metallic minerals ","12,119","12,957","13,732","14,528","13,575","14,111","14,425","14,558","14,166","13,512","11,860","10,891","11,474","11,500","12,798","14,319","14,063","14,223","13,210","13,187","13,813","14,168","13,757","15,831"
UK,United Kingdom,22,Manufacture of rubber and plastic products,"6,363","7,063","7,167","7,810","6,927","7,352","7,629","7,610","7,314","7,158","6,436","6,185","6,290","6,338","7,096","8,257","7,788","8,406","7,417","7,350","7,610","7,958","7,760","8,539"
UK,United Kingdom,23,Manufacture of other non-metallic mineral products,"5,907","5,945","6,757","6,827","6,916","6,970","6,970","7,154","7,077","6,521","5,545","4,774","5,289","5,260","5,796","6,077","6,380","5,806","5,794","5,843","6,211","6,210","5,997","7,292"
UK,United Kingdom,CH (24-25),Manufacture of basic and fabricated metal products,"22,686","23,767","24,446","23,963","23,690","23,849","21,975","22,540","22,336","21,705","21,668","16,961","18,040","18,751","20,502","20,206","21,915","22,997","23,281","22,537","22,790","22,169","23,823","26,218"
UK,United Kingdom,24,Manufacture of basic metals,"7,199","8,719","8,653","8,639","7,420","7,595","6,344","6,737","6,125","6,421","5,638","3,840","4,089","3,913","4,929","3,722","4,762","6,235","6,150","5,402","5,423","4,565","6,266","8,355"
UK,United Kingdom,25,Manufacture of fabricated metal products,"16,217","15,913","16,620","16,160","16,897","16,904","16,143","16,342","16,715","15,818","16,492","13,467","14,320","15,266","15,983","16,747","17,418","17,081","17,415","17,275","17,503","17,604","17,557","17,863"
UK,United Kingdom,CI (26),"Manufacture of computer, electronic and optical products","5,122","5,320","5,275","5,574","7,297","6,428","7,599","7,853","9,169","9,738","11,492","12,115","12,061","12,603","12,750","13,583","13,530","11,703","13,010","13,460","13,692","13,520","13,129","13,745"
UK,United Kingdom,CJ (27),Manufacture of electrical equipment,"4,351","4,417","4,714","5,547","5,966","6,295","5,261","5,273","5,525","5,615","5,897","4,788","4,253","4,647","5,200","4,958","4,805","4,375","4,354","4,511","4,589","5,004","6,295","7,067"
UK,United Kingdom,CK (28),Manufacture of machinery and equipment,"12,206","12,607","13,161","13,490","14,040","14,936","16,096","16,273","16,864","18,198","17,480","12,952","14,962","16,431","16,525","16,792","16,190","15,023","13,795","14,704","16,250","14,808","14,676","18,851"
UK,United Kingdom,CL (29-30),Manufacture of transport equipment,"17,454","18,029","20,603","22,366","20,899","22,240","23,887","24,848","27,390","27,134","30,616","23,724","24,468","28,754","24,160","25,016","27,051","27,146","26,668","29,028","28,418","27,422","25,193","27,204"
UK,United Kingdom,29,Manufacture of motor vehicles,"8,711","7,982","9,112","10,349","9,398","9,614","9,866","10,372","11,499","12,384","16,468","12,258","13,185","14,559","14,002","16,639","19,530","20,305","18,682","19,103","18,221","16,309","12,975","13,434"
UK,United Kingdom,30,Manufacture of other transport equipment,"8,210","9,720","11,119","11,478","11,029","12,191","13,623","14,054","15,420","14,321","13,940","11,158","11,126","13,976","10,176","8,901","8,424","7,923","8,584","10,285","10,447","11,113","12,218","13,770"
UK,United Kingdom,CM (31-33),"Other manufacturing, repair and installation","14,164","15,459","15,653","14,944","15,397","15,394","15,154","15,750","17,672","17,934","17,150","17,104","18,385","17,686","18,164","18,454","18,998","17,499","16,996","17,768","18,584","18,137","17,915","20,686"
